listing_id,lat,lon
900915,34.07688,-118.3854
902024,34.1129,-118.15583
902788,34.18314,-118.1522
904512,34.08699,-118.38967
907295,34.10599,-118.31835
908836,34.18697,-118.41866
910294,34.1098950162079,-118.26425557215074
802935,34.103,-118.34837
808398,33.96165,-118.45234
808891,34.08518,-118.35108
809072,34.08587,-118.2902
810082,34.10051,-118.37997
1045052,34.08224,-118.36561
1046293,34.17649,-118.4599
1053404,34.05862,-118.32505
1054981,33.99427,-118.46532
1055632,34.02825,-118.49339
1055976,34.02778,-118.49294
1056045,34.02924,-118.49325
1056743,34.08066,-118.25865
1056955,34.19589,-118.11941
814971,34.03315,-118.43823
910914,33.76606,-118.16676
913055,34.19277447323954,-118.6349363057821
913270,34.13039,-118.34505
915336,33.99932,-118.45371
916821,34.09962,-118.34291
921738,34.09325,-118.35739
921828,33.99924087524414,-118.47870635986328
818266,34.09151,-118.36679
818526,34.09342,-118.81719
819960,34.14914,-118.45581
1058616,33.89661,-118.41484
1059943,33.90122,-118.40155
